                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      6,                 2.1233,                 3.0572,                 1.6797,                0.00937,                0.11765,                0.03203,                0.01027,                 2.6128,                 3.3756,                 2.1405,             7.9381e-05,             7.9381e-05,             7.9381e-05
                      7,                 2.1885,                 3.0958,                 1.6939,                0.01379,                0.17647,                0.14641,                0.03416,                  2.349,                 3.0829,                 2.0267,             7.5423e-05,             7.5423e-05,             7.5423e-05
                      8,                 1.9986,                 2.8672,                 1.5562,                0.01835,                0.23529,                0.17512,                0.05864,                 2.1089,                 2.8343,                 1.8857,             6.5805e-05,             6.5805e-05,             6.5805e-05
                      9,                 1.8398,                 2.6917,                 1.5613,                0.09786,                0.23529,                0.17872,                0.07607,                 1.9253,                 2.6536,                 1.7712,             5.0529e-05,             5.0529e-05,             5.0529e-05
                     10,                 1.6873,                 2.5512,                 1.5979,                0.19348,                0.23529,                0.17024,                0.07846,                  1.854,                 2.5647,                 1.7277,             2.9595e-05,             2.9595e-05,             2.9595e-05
                      1,                 3.6209,                 4.2873,                 2.7045,                 0.0117,                0.11765,                0.00808,                0.00218,                 4.0417,                 4.2697,                  2.614,              1.429e-05,              1.429e-05,              1.429e-05
                      2,                 3.2229,                 3.9702,                 2.6102,                 0.0112,                0.11765,                0.00826,                0.00299,                 4.0224,                 4.1686,                 2.5443,             3.8626e-05,             3.8626e-05,             3.8626e-05
                      3,                 3.2517,                 3.9255,                 2.3368,                0.01099,                0.11765,                0.00972,                0.00379,                  3.777,                 3.9406,                 2.4135,             5.7303e-05,             5.7303e-05,             5.7303e-05
                      4,                 2.7851,                 3.9165,                 2.0632,                0.00779,                0.08824,                0.01786,                0.00228,                 3.4112,                 3.6783,                 2.2617,             7.0321e-05,             7.0321e-05,             7.0321e-05
                      5,                 2.4736,                 3.3623,                  1.861,                0.00993,                0.11765,                0.03316,                0.00529,                 3.0516,                 3.5497,                 2.1868,              7.768e-05,              7.768e-05,              7.768e-05
                      6,                 2.1233,                 3.0572,                 1.6797,                0.00937,                0.11765,                0.03203,                0.01027,                 2.6128,                 3.3756,                 2.1405,             7.9381e-05,             7.9381e-05,             7.9381e-05
                      7,                 2.1885,                 3.0958,                 1.6939,                0.01379,                0.17647,                0.14641,                0.03416,                  2.349,                 3.0829,                 2.0267,             7.5423e-05,             7.5423e-05,             7.5423e-05
                      8,                 1.9986,                 2.8672,                 1.5562,                0.01835,                0.23529,                0.17512,                0.05864,                 2.1089,                 2.8343,                 1.8857,             6.5805e-05,             6.5805e-05,             6.5805e-05
                      9,                 1.8398,                 2.6917,                 1.5613,                0.09786,                0.23529,                0.17872,                0.07607,                 1.9253,                 2.6536,                 1.7712,             5.0529e-05,             5.0529e-05,             5.0529e-05
                     10,                 1.6873,                 2.5512,                 1.5979,                0.19348,                0.23529,                0.17024,                0.07846,                  1.854,                 2.5647,                 1.7277,             2.9595e-05,             2.9595e-05,             2.9595e-05
                      1,                 3.6209,                 4.2873,                 2.7045,                 0.0117,                0.11765,                0.00808,                0.00218,                 4.0417,                 4.2697,                  2.614,              1.429e-05,              1.429e-05,              1.429e-05
                      2,                 3.2229,                 3.9702,                 2.6102,                 0.0112,                0.11765,                0.00826,                0.00299,                 4.0224,                 4.1686,                 2.5443,             3.8626e-05,             3.8626e-05,             3.8626e-05
                      3,                 3.2517,                 3.9255,                 2.3368,                0.01099,                0.11765,                0.00972,                0.00379,                  3.777,                 3.9406,                 2.4135,             5.7303e-05,             5.7303e-05,             5.7303e-05
                      4,                 2.7851,                 3.9165,                 2.0632,                0.00779,                0.08824,                0.01786,                0.00228,                 3.4112,                 3.6783,                 2.2617,             7.0321e-05,             7.0321e-05,             7.0321e-05
                      5,                 2.4736,                 3.3623,                  1.861,                0.00993,                0.11765,                0.03316,                0.00529,                 3.0516,                 3.5497,                 2.1868,              7.768e-05,              7.768e-05,              7.768e-05
                      6,                 2.1233,                 3.0572,                 1.6797,                0.00937,                0.11765,                0.03203,                0.01027,                 2.6128,                 3.3756,                 2.1405,             7.9381e-05,             7.9381e-05,             7.9381e-05
                      7,                 2.1885,                 3.0958,                 1.6939,                0.01379,                0.17647,                0.14641,                0.03416,                  2.349,                 3.0829,                 2.0267,             7.5423e-05,             7.5423e-05,             7.5423e-05
                      8,                 1.9986,                 2.8672,                 1.5562,                0.01835,                0.23529,                0.17512,                0.05864,                 2.1089,                 2.8343,                 1.8857,             6.5805e-05,             6.5805e-05,             6.5805e-05
                      9,                 1.8398,                 2.6917,                 1.5613,                0.09786,                0.23529,                0.17872,                0.07607,                 1.9253,                 2.6536,                 1.7712,             5.0529e-05,             5.0529e-05,             5.0529e-05
                     10,                 1.6873,                 2.5512,                 1.5979,                0.19348,                0.23529,                0.17024,                0.07846,                  1.854,                 2.5647,                 1.7277,             2.9595e-05,             2.9595e-05,             2.9595e-05
                      1,                 3.4764,                 4.3259,                 2.5136,                0.00885,                0.08824,                0.00554,                0.00166,                 4.0563,                 4.2789,                 2.6489,              1.429e-05,              1.429e-05,              1.429e-05
                      2,                 3.2907,                 3.8273,                 2.2531,                0.01449,                0.14706,                0.01093,                0.00267,                 3.7667,                 4.1993,                 2.5635,             4.1455e-05,             4.1455e-05,             4.1455e-05
                      3,                 3.0644,                  3.876,                 2.2528,                 0.0163,                0.17647,                0.02207,                0.00549,                 3.7163,                 3.8764,                   2.56,             6.6734e-05,             6.6734e-05,             6.6734e-05
                      4,                 2.8131,                 3.6741,                 2.0598,                0.01527,                0.17647,                0.06435,                0.02574,                 3.0013,                 3.5788,                 2.2941,             9.0127e-05,             9.0127e-05,             9.0127e-05
                      5,                 2.4976,                 3.4838,                 1.9794,                0.01716,                0.20588,                0.08668,                0.03507,                 2.6358,                 3.1821,                 2.0954,             0.00011163,             0.00011163,             0.00011163
                      6,                 2.1116,                 3.0769,                 1.6919,                0.01909,                0.23529,                0.15359,                0.06075,                 2.1314,                 2.7942,                 1.7895,             0.00013125,             0.00013125,             0.00013125
                      7,                  2.115,                  3.044,                 1.7225,                0.22977,                0.23529,                0.15961,                0.06839,                 1.9328,                 2.4655,                 1.6666,             0.00014899,             0.00014899,             0.00014899
                      8,                 2.0812,                 2.7958,                 1.7569,                0.30668,                0.23529,                 0.1342,                0.05969,                 1.9452,                 2.3193,                 1.7167,             0.00016484,             0.00016484,             0.00016484
                      9,                 1.8188,                 2.2942,                  1.495,                0.29914,                0.23529,                0.16851,                0.07387,                 1.9102,                 2.1676,                 1.7627,              0.0001788,              0.0001788,              0.0001788
                     10,                 1.8235,                 2.2432,                 1.5501,                0.36224,                0.23529,                0.17672,                0.08122,                 1.8032,                 1.9605,                 1.7067,             0.00019087,             0.00019087,             0.00019087
                     11,                  1.719,                 2.0147,                 1.3847,                0.47825,                0.23529,                0.18713,                 0.0597,                 1.6581,                 1.8025,                 1.6101,             0.00020106,             0.00020106,             0.00020106
                     12,                 1.5781,                 1.8953,                 1.4432,                0.47825,                0.23529,                0.18713,                 0.0597,                 1.6581,                 1.8025,                 1.6101,             0.00020936,             0.00020936,             0.00020936
                     13,                 1.7447,                 1.8297,                 1.3666,                0.46906,                0.35294,                0.29321,                 0.1147,                 1.5694,                 1.6585,                 1.6299,             0.00021578,             0.00021578,             0.00021578
                     14,                 1.4576,                 1.9088,                 1.3514,                0.57002,                0.35294,                0.33353,                0.13948,                 1.4978,                 1.4891,                 1.7507,             0.00022031,             0.00022031,             0.00022031
                     15,                 1.4814,                 1.5793,                 1.3916,                0.57002,                0.35294,                0.33353,                0.13948,                 1.4978,                 1.4891,                 1.7507,             0.00022295,             0.00022295,             0.00022295
                     16,                 1.4848,                  1.544,                 1.3383,                0.51376,                0.35294,                 0.3429,                0.15819,                 1.4315,                 1.3859,                 1.8762,             0.00022371,             0.00022371,             0.00022371
                     17,                 1.4933,                 1.5088,                 1.4633,                0.51473,                0.35294,                0.34292,                0.17451,                 1.3867,                 1.2698,                 1.9908,             0.00022258,             0.00022258,             0.00022258
